         1465964 function calls (1444566 primitive calls) in 19.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45904   17.022    0.000   17.026    0.000 plot_gtex.py:11(linear_search)
        2    0.361    0.180    0.361    0.180 {built-in method matplotlib._png.write_png}
      249    0.209    0.001    0.371    0.001 <frozen importlib._bootstrap_external>:914(get_data)
    28872    0.189    0.000    0.189    0.000 {method 'split' of 'str' objects}
      249    0.162    0.001    0.162    0.001 {method 'read' of '_io.FileIO' objects}
        1    0.137    0.137   18.795   18.795 plot_gtex.py:23(main)
    37/36    0.130    0.004    0.135    0.004 {built-in method _imp.create_dynamic}
      249    0.095    0.000    0.095    0.000 {built-in method marshal.loads}
        1    0.080    0.080    0.080    0.080 {method 'dot' of 'numpy.ndarray' objects}
    19664    0.052    0.000    0.052    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    21869    0.043    0.000    0.043    0.000 {built-in method numpy.array}
      369    0.037    0.000    0.037    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      123    0.036    0.000    0.036    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1230    0.032    0.000    0.032    0.000 {built-in method posix.stat}
     2467    0.032    0.000    0.055    0.000 inspect.py:613(cleandoc)
        1    0.029    0.029   19.993   19.993 plot_gtex.py:1(<module>)
      369    0.028    0.000    0.029    0.000 font_manager.py:1338(get_font)
 1030/939    0.026    0.000    0.088    0.000 {built-in method builtins.__build_class__}
    16811    0.024    0.000    0.081    0.000 fromnumeric.py:69(_wrapreduction)
      576    0.022    0.000    0.052    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      201    0.021    0.000    0.027    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      334    0.021    0.000    0.021    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        3    0.020    0.007    0.020    0.007 backend_agg.py:80(__init__)
       32    0.016    0.001    0.016    0.001 {built-in method io.open}
    61385    0.015    0.000    0.022    0.000 {built-in method builtins.isinstance}
      527    0.015    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     4999    0.015    0.000    0.015    0.000 {built-in method numpy.dot}
     1002    0.014    0.000    0.152    0.000 lines.py:751(draw)
22036/16910    0.014    0.000    0.027    0.000 artist.py:219(stale)
121403/120584    0.014    0.000    0.014    0.000 {built-in method builtins.len}
    23436    0.013    0.000    0.017    0.000 __init__.py:810(__getitem__)
       27    0.013    0.000    0.045    0.002 __init__.py:908(_rc_params_in_file)
      436    0.012    0.000    0.164    0.000 _base.py:2425(handle_single_axis)
